product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
00088930e925c41fd95ebfe695fd2655,automotivo,56,752,4,1225,55,10,26
000b8f95fcb9e0096488278317764d19,utilidades_domesticas,25,364,3,550,19,24,12
001b72dfd63e9833e8c02742adf472e3,moveis_decoracao,45,520,3,600,26,8,22
002159fe700ed3521f46cfcf6e941c76,fashion_calcados,55,344,3,1850,36,37,16
00250175f79f584c14ab5cecd80553cd,utilidades_domesticas,53,631,2,750,30,5,35
0030e635639c898b323826589761cf23,ferramentas_jardim,40,437,1,1550,26,6,20
005030ef108f58b46b78116f754d8d38,perfumaria,54,942,1,50,16,5,11
006baa9a5b8f95895f15273a35bc2664,esporte_lazer,33,223,2,950,60,15,15
0081787b18cce4acc2d1adec4520d7ba,construcao_ferramentas_seguranca,56,841,1,1340,32,14,27
00878d953636afec00d3e85d55a12e7f,beleza_saude,59,1631,4,2550,38,42,25
00b4155166f994ba9da3cf001eb80505,utilidades_domesticas,53,786,4,1125,28,15,23
00ba6d766f0b1d7b78a5ce3e1e033263,utilidades_domesticas,52,418,1,7850,28,62,28
00d2fa6f2a87633084c8e0400d41a65a,cama_mesa_banho,41,312,1,18550,54,35,45
00de7f393d962717eeeb2d7131a40dba,telefonia,47,816,2,300,16,5,12
00fefaf41156bb4b0d850fb27da97897,esporte_lazer,12,3231,3,100,20,18,18
010c38887e6a41a5acfea2687515b254,moveis_decoracao,59,438,1,1400,30,5,20
0135900191d4383219257d6fde585ccf,pet_shop,44,348,1,14475,70,28,48
013cc658e88b36989b48b2bd5f7add59,esporte_lazer,55,2871,1,1050,30,25,25
0152f69b6cf919bcdaf117aa8c43e5a2,cama_mesa_banho,40,116,1,250,40,4,30
016711f78a6a87696645db0a6a834826,beleza_saude,14,1366,2,1150,27,22,39
01847cb3f55acfd629641e58e38e561e,ferramentas_jardim,54,1231,6,800,17,10,12
01b154ceb5457897eb28b9e549f28219,papelaria,54,447,1,400,25,10,17
020a80cb704bf65f38761fcedf2af192,automotivo,35,1512,3,800,26,9,24
02475368dfb38934fe55f574024fe1d7,relogios_presentes,55,569,5,250,16,2,11
025dcf8f0a969c92d254bc425b380685,automotivo,60,354,2,150,16,7,16
0268130c8c3e3cac87b5ec4931348c73,papelaria,60,543,1,1400,25,20,20
027cdd14a677a5834bc67a9789db5021,perfumaria,42,544,1,341,20,18,16
0296dd002a346e3bbdda4e0bc48a5073,moveis_quarto,43,1527,4,13450,76,14,56
02a0c276d5a252215b48269dea73a6e7,esporte_lazer,32,963,1,300,20,15,15
02a93c4e95263ca545e9f46ca2b59833,cool_stuff,52,134,6,1700,65,25,25
02a97df83a8a100c7d2b14a02aea6a3d,beleza_saude,46,378,1,400,21,16,18
02ca198b1084a6d8ed9e152d84243bfb,bebes,58,544,3,2650,16,24,24
02ce467092b184e71d3967d29110adc1,moveis_escritorio,40,1187,1,12275,40,54,38
02ee0862685e90b57cc241b7c9885f95,perfumaria,55,784,1,555,24,8,15
02f8dd9b448d3ec2c73e65a22da1121c,relogios_presentes,43,597,1,250,18,9,17
033c52084417b98d716d863d8bd11fba,automotivo,56,1144,1,600,30,20,20
0354c6a8cb8961e29b70e564b93861fe,ferramentas_jardim,59,2407,1,400,38,10,25
03566b85189259c49476f004ad2afd08,beleza_saude,41,216,1,150,20,15,15
035a4019c8009b57768aa3c1e1ad63a3,moveis_decoracao,56,1472,3,1900,53,8,11
0364c36f8e845e4d309c0a3accc04b1c,moveis_escritorio,47,1158,1,16800,63,58,24
036734b5a58d5d4f46b0616ddc047ced,telefonia,58,751,5,300,17,4,12
037c68f178aefdd7a880a951dedc04d1,brinquedos,36,113,1,9567,41,51,47
03a20f79e4c056b48ce29b3e30beb0fb,moveis_decoracao,63,1700,1,700,60,11,20
03aad9707028422f38b0563410912177,cama_mesa_banho,49,591,1,1500,38,11,30
03b10f5e3ef07cfc27a025adca3fd0be,esporte_lazer,44,3364,1,50,16,16,11
03ccf3bdaa33497fa04d1e2f746a4555,eletroportateis,58,1110,2,800,30,21,30
03e931f387c2dd5b006aecdb12515b2e,cama_mesa_banho,55,560,1,650,16,10,16
040fe1cdb263eb2c9b1322875b0afcb7,perfumaria,36,561,1,2303,26,15,23
0414ce6ba3643b59fd1e5c8e146c1d8d,pet_shop,48,466,2,2700,43,39,20
0432203d03868bfe5fdbb86fb2148474,bebes,35,1168,3,7003,52,30,46
0433830caca22b01a0f477d31307b043,portateis_casa_forno_e_cafe,47,2810,7,7450,40,10,40
044f05bc9de36e8a693a83e4bc79dd0d,telefonia,59,734,4,300,17,4,12
046eee903d62294ffad4e38ae6aa730e,cama_mesa_banho,32,219,1,9325,50,18,28
04a2ef44f3ea03a72be6f1f99ee0bfe6,fashion_bolsas_e_acessorios,35,172,4,150,18,9,11
04a67e69edfb208f784da30294f69c5b,esporte_lazer,51,1256,1,1350,26,18,18
04af9f3af5c6afc4eece909c25330934,relogios_presentes,51,475,6,200,16,2,20
04d7da0499dd7cdfba6ef58c85e70324,moveis_decoracao,41,1261,3,450,27,27,33
04e90f954f5fde312ce378b26ddfad13,utilidades_domesticas,58,1901,1,7600,49,40,40
04fa587378a8e74c3b0acc00efecc93e,automotivo,50,829,2,14900,32,47,38
05019bc35fc2ed878c0c0f55346b91c6,beleza_saude,40,344,1,2550,18,16,17
0502d1a36be75bd36b452f31c6ed264a,,,,,100,16,7,11
052413504e5295cd66ec4ced0b310062,relogios_presentes,55,570,1,165,16,10,12
054515fd15bc1a2029f10de97ffa9120,esporte_lazer,50,799,1,150,18,18,18
057229db0353dff9e12e298e8f6429b9,cama_mesa_banho,35,564,1,1900,16,2,11
059ca09d32720d9adce3ae12e181339d,perfumaria,50,676,1,426,20,16,17
05a9ab81472f6bdcd910cb49b636c5b5,instrumentos_musicais,55,2290,5,250,16,9,11
05bbe113b2037f89552c644c5cb33ecf,utilidades_domesticas,57,1366,5,10100,48,30,16
05bee157001350b29b1e48395f6736a5,market_place,43,1234,3,2100,19,27,38
05c693a8085dad009cebdcf2830ab738,telefonia,52,525,2,200,19,4,11
05df88a280f9c6edca3b2f5f9b3e75ad,cama_mesa_banho,56,279,1,525,34,23,43
05e75e2ebb007f6cadbc9925311b014b,moveis_decoracao,63,522,2,500,80,10,60
05fca08b4d54ab5d1d371db7d5534136,informatica_acessorios,47,1009,4,300,20,6,13
05feccd482d35726d6f80e60df25db86,,,,,1400,16,25,15
0603179793e4bf68b9dbdb4ba238a3b7,cama_mesa_banho,58,1290,1,1150,43,7,30
0603d2d85bcc46beb11bd247870c4841,cama_mesa_banho,30,66,1,1450,55,14,43
060890b1af8cc031e9dde49cf544f884,automotivo,57,662,1,2900,61,8,61
060c17562f97e5bb60bc0dfa4dd5b3f2,informatica_acessorios,40,675,1,150,18,6,14
060cb19345d90064d1015407193c233d,automotivo,49,608,1,7150,65,10,65
060f0122cdc8f25db4a0d7359fdae7b0,relogios_presentes,50,835,5,250,16,2,11
0630f740d3f05c50f85d7dd7cffc60a3,construcao_ferramentas_jardim,49,414,1,250,17,7,12
063595b8c2acd495d650be922916fbff,moveis_decoracao,63,744,9,1600,30,21,28
063d853b6d570a9a5d06e8e044658c21,esporte_lazer,63,1777,10,900,22,15,20
0640a217fe729c5b8f61fd475f1fc22c,telefonia,60,786,5,350,17,4,12
06484143f7046fc1c2ec000aba13e28a,esporte_lazer,38,912,1,900,16,20,20
067e6da1c75010f933e68b76efb2273f,utilidades_domesticas,58,451,4,8575,33,48,38
0688d52e92d927814617e26d7702df10,perfumaria,30,238,2,133,21,12,19
06976617d8c5e71de4f3c2d93e788fd5,malas_acessorios,57,444,1,1200,32,10,45
069a004edf898d16c9331bafd6ac7f46,moveis_decoracao,28,929,4,950,25,25,25
06a7a571bc9fbb103a9c2eb90f89432c,moveis_decoracao,36,1426,1,150,16,2,11
06c6e01186af8b98ee1fc9e01f9471e9,informatica_acessorios,53,144,2,200,25,5,15
06c950c36d589b39b34f5dc1d4a75e29,beleza_saude,53,885,4,667,30,14,16
06dce482ace017e78349b6f1fa83a022,cama_mesa_banho,44,452,1,550,30,3,19
06e73ddcb54620a36bfdb2e073c4dc40,fashion_bolsas_e_acessorios,48,357,5,150,16,9,11
06edb72f1e0c64b14c5b79353f7abea3,cama_mesa_banho,39,161,2,350,25,8,19
06f0e85c7892d5df893f332706340af1,papelaria,57,301,3,9850,30,19,60
